MLID,Name,HCID,Preferred,Model_number
1,45Mhz_Light_Modulation,45MHZLGHTMDLTN,1,6
1,45Mhz_Light_Modulation,LGHTMDLTN,0,6
2,50_Hz,50HZ,1,17
2,50_Hz,RCMPRSSR50HZ,0,17
3,Blip,BLP,1,2
4,Blob,,1,NA
5,Chirp,CHRP,1,NA
6,Extremely_Loud,XTRMLLD,1,10
7,Helix,HLX,1,14
8,Koi_Fish,KFSH,1,4
9,Low_Frequency_Burst,LWFRQNCBRST,1,7
10,Low_Frequency_Lines,LWFRQNCLN,1,3
10,Low_Frequency_Noise_Fluctuations,LWFRQNCLN,1,3
11,No_Glitch,NGLTCH,0,16
11,No_Glitch,DNTSGLTCH,1,16
12,None_of_the_Above,NNFTHBV,1,NA
13,Paired_Doves,PRDDVS,1,21
14,Power_Line,60HZPWRLN,0,13
14,Power_Line,60HZPWRMNS,0,13
14,Power_Line,PWRLN60HZ,1,13
15,Repeating_Blips,RPTNGBLPS,1,18
16,Scattered_Light,SCTTRDLGHT,1,8
17,Scratchy,SCRTCH,1,1
18,Tomte,TMT,1,NA
19,Violin_Mode,VLNHRMNC500HZ,1,9
19,Violin_Mode,HRMNCS,0,9
20,Wandering_Line,WNDRNGLN,1,20
21,Whistle,WHSTL,1,5
-1,Calibration_Line_300Hz,CLBRTNLN300HZ,1,-1
